RMSE,R^2 Adjusted,Features
29169.866904965336,0.8603990986971495,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Heating QC_Gd', 'Fireplace Qu_Gd', 'Heating QC_TA', 'Pool QC_Fa', 'Functional_Sev', 'Sale Type_ConLI', 'Bsmt Exposure_Gd', 'Street_Pave', 'Fireplace Qu_Gd']"
29208.683308486437,0.8599585006060758,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Id', 'Kitchen AbvGr', 'Roof Matl_Roll', 'Bsmt Exposure_No', 'Exterior 1st_BrkFace', 'Neighborhood_SWISU', 'Overall Cond', 'BsmtFin Type 1_Rec', 'Bsmt Qual_NA', '3Ssn Porch']"
29201.83050796957,0.8599553527787144,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Condition 1_RRNe', 'Functional_Sev', 'Lot Area', 'Condition 2_PosA', 'Enclosed Porch', 'Condition 2_RRAn', 'Screen Porch', 'Roof Matl_Membran', 'MS SubClass', 'Foundation_PConc', 'Central Air_Y']"
29204.513574018823,0.8599296169742305,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Neighborhood_Timber', 'Bldg Type_2fmCon', 'Condition 2_RRAn', 'Kitchen Qual_Gd', 'Kitchen Qual_TA', 'Neighborhood_Somerst', 'Roof Style_Gambrel', 'House Style_SLvl', 'Roof Style_Gable', 'BsmtFin Type 2_LwQ', 'BsmtFin Type 1_GLQ']"
29198.66083092833,0.8599168484301842,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'BsmtFin Type 2_LwQ', 'Bsmt Exposure_Gd', 'Open Porch SF', 'Misc Val', 'Bldg Type_Duplex', 'Garage Qual_TA', 'Sale Type_CWD', 'Heating QC_Po', 'Exterior 2nd_Wd Shng', 'Garage Yr Blt', 'Fence_GdWo', 'Bsmt Cond_TA']"
29231.12910076965,0.8598809613187792,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Garage Qual_TA', 'Bsmt Exposure_Gd', 'Heating_GasA', 'Exterior 1st_Stone', 'Exterior 1st_VinylSd', 'Sale Type_WD ', 'Fence_MnWw', 'Exterior 1st_BrkFace']"
29284.641359778147,0.8593674710948875,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Exterior 1st_HdBoard', 'Bsmt Exposure_Gd', 'Exterior 1st_BrkFace', 'Condition 2_Norm', 'Heating_OthW', 'House Style_SLvl', 'Exterior 1st_Plywood', 'Garage Yr Blt']"
29288.460581933818,0.8590538789900163,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Bsmt Exposure_Gd', 'Foundation_CBlock', 'Misc Feature_Othr', 'Functional_Min2', 'Sale Type_ConLI', 'Exterior 1st_BrkComm', 'Exterior 2nd_CmentBd', 'Kitchen AbvGr', 'Screen Porch', 'Fireplace Qu_Po', 'BsmtFin Type 2_BLQ', 'Land Contour_Lvl']"
29388.396126785305,0.8582995931208434,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Lot Frontage', 'Roof Matl_WdShake', 'Garage Qual_NA', 'Kitchen AbvGr', 'Kitchen Qual_TA', 'Sale Type_ConLw', 'Electrical_FuseF', 'Exterior 2nd_Stone', 'Sale Type_New']"
29377.457389803665,0.8581960112482793,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Misc Feature_NA', 'Kitchen Qual_TA', 'Bsmt Cond_NA', 'Sale Type_New', 'Neighborhood_Crawfor', 'Land Contour_HLS', 'Mas Vnr Type_None', 'Misc Feature_TenC', 'Bldg Type_Duplex', 'Neighborhood_ClearCr', 'Exterior 2nd_Other', 'Functional_Sal']"
